FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function106,Nitrogen cycling,Nitrite reduction,nirS,K15864
Function107,Nitrogen cycling,Nitrite reduction,octR,N/A
Function108,Nitrogen cycling,Nitric oxide reduction,norB,K04561
Function109,Nitrogen cycling,Nitric oxide reduction,norC,K02305
Function110,Nitrogen cycling,Nitrous oxide reduction,nosD,N/A
Function111,Nitrogen cycling,Nitrous oxide reduction,nosZ,N/A
Function112,Nitrogen cycling,Anammox,hzoA,K20935
Function113,Nitrogen cycling,Anammox,hzsA,K20932
Function114,Sulfur cycling,Sulfide oxidation,fccB,K17229
Function115,Sulfur cycling,Sulfide oxidation,sqr,K17218
Function116,Sulfur cycling,Sulfite reduction,dsrD,N/A
Function117,Sulfur cycling,Sulfur oxidation,dsrA,K11180
Function118,Sulfur cycling,Sulfur oxidation,dsrB,K11181
Function119,Sulfur cycling,Sulfur oxidation,sdo,K17725
Function120,Sulfur cycling,Sulfur oxidation/reduction,sor,K16952
Function121,Sulfur cycling,Sulfur reduction,sreA,K17219
Function122,Sulfur cycling,Sulfur reduction,sreB,K17220
Function123,Sulfur cycling,Sulfur reduction,sreC,K17221
Function124,Sulfur cycling,Thiosulfate oxidation,soxB,K17224
Function125,Sulfur cycling,Thiosulfate oxidation,soxY,K17226
Function126,Sulfur cycling,Thiosulfate oxidation,soxC,K17225
Function127,Sulfur cycling,Sulfite reduction,asrA,K16950
Function128,Sulfur cycling,Sulfite reduction,asrB,K16951
Function129,Sulfur cycling,Sulfite reduction,asrC,K00385
Function130,Sulfur cycling,Sulfate reduction,aprA,K00394
Function131,Sulfur cycling,Sulfate reduction,sat,K00958
Function132,Sulfur cycling,Thiosulfate disproportionation,phsA,K08352
Function133,Hydrogenases,FeFe hydrogenase,fefe-group-a13,N/A
Function134,Hydrogenases,FeFe hydrogenase,fefe-group-a2,N/A
Function135,Hydrogenases,FeFe hydrogenase,fefe-group-a4,N/A
Function136,Hydrogenases,FeFe hydrogenase,fefe-group-b,N/A
Function137,Hydrogenases,FeFe hydrogenase,fefe-group-c1,N/A
Function138,Hydrogenases,FeFe hydrogenase,fefe-group-c2,N/A
Function139,Hydrogenases,FeFe hydrogenase,fefe-group-c3,N/A
Function140,Hydrogenases,Fe hydrogenase,fe,N/A
Function141,Hydrogenases,Ni-Fe Hydrogenase,nife-group-1,N/A
Function142,Hydrogenases,Ni-Fe Hydrogenase,nife-group-2ade,N/A
Function143,Hydrogenases,Ni-Fe Hydrogenase,nife-group-2bc,N/A
Function144,Hydrogenases,Ni-Fe Hydrogenase,nife-group-3abd,N/A
Function145,Hydrogenases,Ni-Fe Hydrogenase,nife-group-3c,N/A
Function146,Hydrogenases,Ni-Fe Hydrogenase,nife-group-4a-g,N/A
Function147,Hydrogenases,Ni-Fe Hydrogenase,nife-group-4hi,N/A
Function148,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoA,K00330
Function149,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoB,K00331
Function150,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoC,K00332
Function151,Oxidative phosphorylation,Complex I (NAD(P)H-quinone oxidoreductase),NdhA,K05572
Function152,Oxidative phosphorylation,Complex I (NAD(P)H-quinone oxidoreductase),NdhB,K05573
Function153,Oxidative phosphorylation,Complex I (NAD(P)H-quinone oxidoreductase),NdhC,K05574
Function154,Oxidative phosphorylation,Complex II (Succinate dehydrogenase/Fumarate reductase),sdhC,K00241
Function155,Oxidative phosphorylation,Complex II (Succinate dehydrogenase/Fumarate reductase),sdhD,K00242
Function156,Oxidative phosphorylation,Complex III (Cytochrome c reductase),petA,K00411
Function157,Oxidative phosphorylation,Complex III (Cytochrome c reductase),petB,K00412
Function158,Oxidative phosphorylation,Complex III (Cytochrome c reductase),fbcH,K00410
Function159,Oxidative phosphorylation,Complex V (ATP synthase: V/A-type H+/Na+-transporting ATPase),atpA (V/A-type),K02117
Function160,Oxidative phosphorylation,Complex V (ATP synthase: V/A-type H+/Na+-transporting ATPase),atpB (V/A-type),K02118
Function161,Oxidative phosphorylation,Complex V (F-type H+-transporting ATPase),atpA (F-type),K02111
Function162,Oxidative phosphorylation,Complex V (F-type H+-transporting ATPase),atpD (F-type),K02112
Function163,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, caa3-type",coxA,K02274
Function164,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, caa3-type",coxB,K02275
Function165,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoN,K00404
Function166,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoO,K00405
Function167,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoP,K00406
Function168,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoA,K02297
Function169,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoD,K02300
Function170,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoB,K02298
Function171,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoC,K02299
Function172,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bd type",cydA,K00425
Function173,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bd type",cydB,K00426
Function174,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, aa3 type, QoxABCD",qoxA,K02826
Function175,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, aa3 type, QoxABCD",qoxB,K02827
Function176,Urea utilization,Urease,ureC,K01428
Function177,Urea utilization,Urease,ureB,K01429
Function178,Urea utilization,Urease,ureA,K01430
Function179,Halogenated compound utilization,Halogenated compounds breakdown,E3.8.1.2,K01560
Function180,Halogenated compound utilization,Halogenated compounds breakdown,pcpC,K15241
Function181,Halogenated compound utilization,Halogenated compounds breakdown,cprA,K21566
Function182,Halogenated compound utilization,Halogenated compounds breakdown,pceA,K21647
Function183,Perchlorate reduction,Perchlorate reduction,pcrA,N/A
Function184,Perchlorate reduction,Perchlorate reduction,pcrB,N/A
Function185,Chlorite reduction,Chlorite reduction,cld,K09162
Function186,As cycling,Dissimilatory arsenate reduction,arrA,N/A
Function187,As cycling,Arsenate reduction for detoxification,arsC (grx),K00537
Function188,As cycling,Arsenate reduction for detoxification,arsC (trx),K03741
Function189,As cycling,Arsenite oxidation for energy metabolism,arxA,N/A
Function190,As cycling,Arsenite oxidation for detoxification and energy metabolism,aioA,K08356
Function191,As cycling,Arsenite methylation,arsM,K07755 
Function192,Selenate reduction,Selenate reduction,ygfM,K12529
Function193,Selenate reduction,Selenate reduction,xdhD,K12528
Function194,Selenate reduction,Selenate reduction,YgfK,K12527
Function195,Nitrile hydration,Nitrile hydratase,nthA,K01721
Function196,Nitrile hydration,Nitrile hydratase,nthB,K20807
Function197,Iron cycling,Iron oxidation,Cyc1,N/A
Function198,Iron cycling,Iron oxidation,Cyc2_repCluster1,N/A
Function199,Iron cycling,Iron oxidation,Cyc2_repCluster2,N/A
Function200,Iron cycling,Iron oxidation,Cyc2_repCluster3,N/A
Function201,Iron cycling,Iron oxidation,FoxA,N/A
Function202,Iron cycling,Iron oxidation,FoxB,N/A
Function203,Iron cycling,Iron oxidation,FoxC,N/A
Function204,Iron cycling,Iron oxidation,FoxE,N/A
Function205,Iron cycling,Iron oxidation,FoxY,N/A
Function206,Iron cycling,Iron oxidation,FoxZ,N/A
Function207,Iron cycling,Iron oxidation,MtoA,N/A
Function208,Iron cycling,Iron oxidation,sulfocyanin,N/A
Function209,Iron cycling,Metal (Iron/Manganese) reduction,MtrA,N/A
Function210,Iron cycling,Metal (Iron/Manganese) reduction,MtrB_TIGR03509,N/A
Function211,Iron cycling,Metal (Iron/Manganese) reduction,MtrC_TIGR03507,N/A
Function212,Iron cycling,Iron reduction,CymA,N/A
Function213,Iron cycling,Iron reduction,OmcF,N/A
Function214,Iron cycling,Iron reduction,OmcS,N/A
Function215,Iron cycling,Iron reduction,OmcZ,N/A
Function216,Iron cycling,Iron reduction,FmnA,N/A
Function217,Iron cycling,Iron reduction,DmkA,N/A
Function218,Iron cycling,Iron reduction,FmnB,N/A
Function219,Iron cycling,Iron reduction,PplA,N/A
Function220,Iron cycling,Iron reduction,Ndh2,N/A
Function221,Iron cycling,Iron reduction,EetA,N/A
Function222,Iron cycling,Iron reduction,EetB,N/A
Function223,Iron cycling,Iron reduction,DmkB,N/A
Function224,Iron cycling,Iron reduction,DFE_0448,N/A
Function225,Iron cycling,Iron reduction,DFE_0449,N/A
Function226,Iron cycling,Iron reduction,DFE_0450,N/A
Function227,Iron cycling,Iron reduction,DFE_0451,N/A
Function228,Iron cycling,Iron reduction,DFE_0461,N/A
Function229,Iron cycling,Iron reduction,DFE_0462,N/A
Function230,Iron cycling,Iron reduction,DFE_0463,N/A
Function231,Iron cycling,Iron reduction,DFE_0464,N/A
Function232,Iron cycling,Iron reduction,DFE_0465,N/A
Function233,Manganese cycling,Manganese oxidation,Manganese_oxidase_K06324,K06324
Function234,Manganese cycling,Manganese oxidation,Manganese_oxidase_K22348,K22348
Function235,Manganese cycling,Manganese oxidation,Manganese_oxidase_K22349,K22349
Function236,Manganese cycling,Manganese oxidation,Manganese_oxidase_K22350,K22350
Function237,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfide oxidation,fccB,K17229
Function238,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfide oxidation,sqr,K17218
Function239,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrA,N/A
Function240,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrB,N/A
Function241,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrC,N/A
Function242,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrD,N/A
Function243,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrE,N/A
Function244,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrF,N/A
Function245,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrH,N/A
Function246,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrJ,N/A
Function247,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrK,N/A
Function248,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrM,N/A
Function249,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrO,N/A
Function250,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrP,N/A
Function251,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrR,N/A
Function252,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrS,N/A
Function253,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrT,N/A
Function254,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfite reduction,asrA,K16950
Function255,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfite reduction,asrB,K16951
Function256,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfite reduction,asrC,K00385
Function257,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation,sdo,K17725
Function258,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/reduction,sor,K16952
Function259,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur reduction,sreA,K17219
Function260,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur reduction,sreB,K17220
Function261,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur reduction,sreC,K17221
Function262,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxA,K17222
Function263,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxB,K17224
Function264,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxC,K17225
Function265,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxD,K22622
Function266,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxX,K17223
Function267,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxY,K17226
Function268,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxYZ,N/A
Function269,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxZ,K17227
Function270,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfate reduction,aprA,K00394
Function271,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfate reduction,aprB,K00395
Function272,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfate reduction,sat,K00958
Function273,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate disproportionation,phsA,K08352
Function274,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfate <-> APS (Adenosine 5'-phosphosulfate),cysD,K00957
Function275,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfate <-> APS (Adenosine 5'-phosphosulfate),cysN,K00956
Function276,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfate <-> APS (Adenosine 5'-phosphosulfate),cysNC,K00955
Function277,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| APS (Adenosine 5'-phosphosulfate) <-> PAPS (3'-Phosphoadenosine 5'-phosphosulfate),cysC,K00860
Function278,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| APS (Adenosine 5'-phosphosulfate) <-> PAPS (3'-Phosphoadenosine 5'-phosphosulfate),cysNC,K00955
Function279,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| PAPS (3'-Phosphoadenosine 5'-phosphosulfate) <-> Sulfite,cysH,K00390
Function280,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfite -> Sulfide,cysJ,K00380
Function281,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfide -> Cysteine,cysK,K01738
Function282,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfide -> Cysteine,cysM,K12339
Function283,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) -> Methanesulfonate,dsoA,N/A
Function284,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) -> Methanesulfonate,dsoB,N/A
Function285,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) -> Methanesulfonate,sfnG,K17228
Function286,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) -> Methanesulfonate,msuD,N/A
Function287,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) <-> DMS (Dimethyl sulfide),dsoA,N/A
Function288,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) <-> DMS (Dimethyl sulfide),dsoB,N/A
Function289,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) <-> DMS (Dimethyl sulfide),ddhA,K16964
Function290,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) <-> DMS (Dimethyl sulfide),dmsA,K07306
Function291,Sulfur cycling enzymes (detailed),DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol,dmoA,K16967
Function292,Sulfur cycling enzymes (detailed),DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol,dmoB,N/A
Function293,Sulfur cycling enzymes (detailed),DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol,mddA,K21310
Function294,Sulfur cycling enzymes (detailed),Sulfite production from organic sulfur | Taurine -> Sulfite,tauD,K03119
Function295,Sulfur cycling enzymes (detailed),Sulfite production from organic sulfur | Alkylsulfonate/Isethionate -> Sulfite,ssuD,K04091
Function296,Sulfur cycling enzymes (detailed),Sulfite production from organic sulfur | Methanesulfonate -> Sulfite,msmA,K16968
Function297,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Cysteine <-> Cystathionine,metB,K01739
Function298,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Cysteine <-> 3-mercaptopyruvate,aspB,K00812
Function299,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | OAHS (O-acetylhomoserine) + Sulfide -> Homocysteine,metY,K01740
Function300,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Cystathionine -> Homocysteine,malY,K14155
Function301,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Cystathionine -> Homocysteine,metC,K01760
Function302,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | MHO (L-methionine (R)-S-oxide) -> Methionine),msrC,K08968
Function303,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Homocysteine -> Methionine,metH,K00548
Function304,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Homocysteine <-> Methionine,metE,K00549
Function305,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | SAH (S-adenosyl-L-homocysteine) -> Homocysteine,ahcY,K01251
Function306,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | SRH (S-ribosylhomocysteine) -> Homocysteine,luxS,K07173
Function307,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | SAH (S-adenosyl-L-homocysteine) -> SRH (S-ribosylhomocysteine),mtnN,K01243
Function308,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,cysK,K01738
Function309,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,cysM,K12339
Function310,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,malY,K14155
Function311,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,dcyD,K05396
Function312,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,metC,K01760
Function313,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Methionine -> Methanethiol,megL,N/A
Function314,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Methionine -> SAMe (S-adenosyl-L-methionine),metK,K00789
Function315,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | SAMe (S-adenosyl-L-methionine) -> SAH (S-adenosyl-L-homocysteine),dcm,K00558
